,F1-Macro,F1-Accuracy,F1-Weighted
LogisticRegression,0.9983935367726239,0.9984090909090909,0.9984092835142631
MultinomialNB,0.9987771646197224,0.9987878787878788,0.9987879654265361
LinearSVC,0.9989293496648877,0.9989393939393939,0.9989394702023406
SGDClassifier,0.9990831688906782,0.9990909090909091,0.999090985690554
RidgeClassifier,0.9991621752021355,0.9991666666666666,0.9991667056880643
